id,recetteid,unit,quantite,ingredient
12594,1332,,,herbes de Provence
12595,1333,cuillères à soupe,2.0,huile d'olive
12596,1333,tranches,4.0,jambon
12597,1333,g,200.0,emmental
12598,1333,petite boîte,1.0,purée de tomate
12599,1333,,2.0,tortillas
12600,1333,g,50.0,olives
12601,1333,botte,1.0,basilic
12602,1334,,,margarine
12603,1334,,,huile d'olive
12604,1334,cuillère à café,0.5,piment de Cayenne
12605,1334,cuillère à café,1.0,poivre
12606,1334,cuillère à café,1.0,gingembre
12607,1334,cuillère à café,1.0,muscade
12608,1334,cuillère à soupe,1.0,coriandre
12609,1334,cuillères,2.0,curcuma
12610,1334,cuillères,2.0,cumin
12611,1334,"cuillère à soupe, gros",0.5,sel
12612,1334,morceau,1,gingembre
12613,1334,feuilles,4.0,de laurier
12614,1334,tranches,6,citron confit
12615,1334,kg,2.5,épaule d'agneau
12616,1334,blancs,5.0,oignons
12617,1334,gousses,2.0,ail
12618,1334,g,600.0,olives
12619,1334,cuillère à café,1.0,cannelle
12620,1334,cuillère à café,1.0,laurier
12621,1334,cuillère à café,0.5,girofle
12622,1335,cuillère à café,1.0,thym
12623,1335,cuillères à soupe,4.0,moutarde de Dijon
12624,1335,,1.0,lapin
12625,1335,,1.0,crépine
12626,1336,,,sel
12627,1336,,,poivre
12628,1336,cuillères à soupe,2.0,persil
12629,1336,g,425.0,tomate
12630,1336,cuillères à soupe,2.0,huile d'olive
12631,1336,,1.0,oignon
12632,1336,,1.5,lmoules
12633,1336,gousses,2.0,ail
12634,1336,"tasse, blanc",1.0,vin
12635,1336,cuillère à soupe,1.0,basilic frais
12636,1336,g,500,spaghetti
12637,1337,,1.0,poireau
12638,1337,g,50.0,beurre
12639,1337,,,sel
12640,1337,blanc,,poivre
12641,1337,dose,1.0,safran
12642,1337,,0.5,lcrème fraîche
12643,1337,g,200.0,Fruits de mer
12644,1337,,,tagliatelles fraîches
12645,1337,,0.25,fumet
12646,1337,,1.0,échalote
12647,1337,"verre, blanc",1,vin sec
12648,1338,g,125.0,gruyère râpé
12649,1338,,,sel
12650,1338,,,poivre
12651,1338,demi,1.0,poivron rouge
12652,1338,,1.0,carotte
12653,1338,verre,1.0,petit vin rouge
12654,1338,,,beurre
12655,1338,,,plaque lasagnes
12656,1338,g,800.0,viande hachée
12657,1338,boîte,1.0,tomates pelées
12658,1338,boîte,1,concentré de tomates
12659,1338,g,250.0,mozzarella
12660,1338,petite boîte,1,champignons de Paris
12661,1338,,2,échalotes
12662,1338,gousse,,ail
12663,1338,,,basilic
12664,1338,,,herbes de Provence
12665,1338,,,paprika
12666,1338,,,béchamel
12667,1338,g,125.0,parmesan râpé
12668,1339,cuillère à soupe,1.0,levure de boulanger
12669,1339,kg,1.0,farine
12670,1339,cl,30.0,eau
12671,1339,cuillères à café,3.0,huile de sésame
12672,1339,cuillère à café,1.0,gingembre
12673,1339,cuillère à café,1.5,poivre
12674,1339,cuillère à café,1.5,sucre
12675,1339,cuillère à café,1.5,sel
12676,1339,g,500.0,porc
12677,1339,g,500.0,haricot
12678,1339,blanc,1,de poireau
12679,1339,cuillères à soupe,2.0,eau
12680,1339,,8,oeufs
12681,1339,cuillère à café,1.5,glutamate
12682,1339,cuillère à café,1.0,sauce soja
12683,1339,cuillère à café,1.0,arôme
12684,1340,,4.0,clous de girofle
12685,1340,,1.0,oignon
12686,1340,,2.0,poireaux
12687,1340,,4.0,carottes
12688,1340,g,650.0,boeuf
12689,1340,,2.0,os à moelle
12690,1340,branche,2.0,céleri
12691,1340,gousse,1.0,ail
12692,1340,bouquet,1.0,garni
12693,1340,,,sel et poivre
12694,1341,,,huile d'olive
12695,1341,,,safran
12696,1341,,2.0,carottes
12697,1341,,1.0,oignon
12698,1341,g,400.0,riz
12699,1341,,,bouillon de poule
12700,1341,blanc,1.0,dl vin sec
12701,1342,,,cumin
12702,1342,g,350.0,pâtes
12703,1342,,2.0,tomates
12704,1342,petite boîte,1.0,pois chiches
12705,1342,branche,1.0,céleri
12706,1342,gousses,2.0,ail
12707,1343,,,sel
12708,1343,,,poivre
12709,1343,pincée,,piment fort
12710,1343,ml,15.0,vinaigre balsamique
12711,1343,ml,60.0,tomate séchée
12712,1343,boîte,1.0,tomate
12713,1343,,1.0,oignon
12714,1343,ml,45.0,huile d'olive
12715,1343,,4.0,cuisses de poulet
12716,1343,gousses,12.0,ail
12717,1343,ml,125,olives noires
12718,1344,,,sel
12719,1344,,,poivre
12720,1344,cuillère à soupe,1.0,maïzena
12721,1344,cl,20.0,crème fraîche
12722,1344,g,50.0,beurre
12723,1344,,6.0,pintades
12724,1344,cl,75.0,cidre
12725,1344,,6.0,pommes
12726,1345,,,huile
12727,1345,pincée,1.0,muscade
12728,1345,,,sel
12729,1345,,,poivre
12730,1345,,3.0,oignons
12731,1345,botte,1.0,persil
12732,1345,kg,1.0,viande hachée
12733,1345,,0.5,baguette
12734,1345,cuillère à soupe,1.0,paprika
12735,1345,cuillères à soupe,2.0,ail
12736,1345,petite boîte,1,concentré de tomates
12737,1345,,4.0,oeufs
12738,1346,,,persil
12739,1346,,1.0,piment
12740,1346,cuillères à soupe,12.0,huile d'olive
12741,1346,,4.0,ail
12742,1346,,48.0,gambas
12743,1346,,,pain
12744,1347,,,persil
12745,1347,,,huile d'olive
12746,1347,,,sel
12747,1347,,,poivre
12748,1347,feuille,1.0,de laurier
12749,1347,,1.0,cube de bouillon
12750,1347,,1.0,cube de bouillon
12751,1347,cuillères à soupe,2.0,farine
12752,1347,,2.0,oignons
12753,1347,tranches,3.0,sauté de veau
12754,1347,g,250,champignon frais
12755,1347,"cl, blanc",30.0,vin
12756,1347,boîte,1,tomates pelées
12757,1347,gousse,0.5,ail
12758,1347,cuillères à soupe,2.0,jus de citron
12759,1347,,,herbes de Provence
12760,1347,pincée,1.0,estragon
12761,1348,filet,1.0,huile d'olive
12762,1348,pincée,1.0,poivre
12763,1348,pincée,1.0,sel
12764,1348,kg,1.0,courgette
12765,1348,gousses,5.0,ail
12766,1348,cl,30.0,crème fraîche épaisse
12767,1348,g,160.0,fromage ail et fines herbes
12768,1349,,,sel
12769,1349,,,poivre
12770,1349,,,huile d'olive
12771,1349,cuillère à café,0.25,piment d'Espelette
12772,1349,brins,4.0,thym
12773,1349,g,800.0,crevette rose
12774,1349,boîte,1.0,homard
12775,1349,gousses,2.0,ail
12776,1349,,,eau
12777,1350,,,persil
12778,1350,cuillère à soupe,1.0,huile d'olive
12779,1350,g,30.0,beurre
12780,1350,g,500.0,fettucine
12781,1350,g,500.0,crevettes
12782,1350,,2.0,oignons nouveaux
12783,1350,gousse,1.0,ail
12784,1350,ml,250.0,crème liquide
12785,1351,cuillère à café,1.0,curry
12786,1351,g,10.0,farine
12787,1351,tranches,2.0,jambon
12788,1351,"demi, blanc",1.0,chou
12789,1351,,4.0,pommes de terre
12790,1351,cl,40.0,crème liquide
12791,1352,,1.0,oignon
12792,1352,g,100.0,lardons
12793,1352,,,sel
12794,1352,,10.0,grains poivre
12795,1352,,2.0,oignons
12796,1352,,2.0,carottes
12797,1352,cl,10.0,vinaigre
12798,1352,cl,40.0,vin rouge
12799,1352,g,30.0,beurre
12800,1352,cl,5.0,armagnac
12801,1352,cl,35,vin rouge
12802,1352,kg,1.5,sanglier
12803,1352,bouquet,1,garni
12804,1352,,10,genièvre
12805,1352,branche,1.0,céleri
12806,1352,,2.0,échalotes
12807,1352,gousses,4.0,ail
12808,1352,g,250.0,jambon cru
12809,1352,gousse,1.0,ail
12810,1353,pincée,1.0,poivre
12811,1353,pincée,1.0,sel
12812,1353,cuillère à soupe,1.0,moutarde
12813,1353,cuillère à soupe,1.0,miel
12814,1353,noix,1.0,beurre
12815,1353,filets,10.0,mignons
12816,1353,cuillère à soupe,1.0,eau
12817,1354,,,margarine
12818,1354,cl,20.0,crème fraîche
12819,1354,g,200.0,lardons fumés
12820,1354,kg,1.8,lapin
12821,1354,"bouteille, blanc",1.0,vin
12822,1354,,2.0,échalotes
12823,1354,kg,2.5,pomme de terre
12824,1355,,1.0,cube de bouillon
12825,1355,g,500.0,tomate
12826,1355,,1.0,oignon
12827,1355,,4.0,pilons de poulet
12828,1356,,,poivre
12829,1356,,,sel
12830,1356,,,persil
12831,1356,,,huile
12832,1356,g,100.0,farine
12833,1356,cuillère à café,1.0,safran
12834,1356,,4.0,pommes de terre
12835,1356,,3.0,oeufs
12836,1356,gousses,2.0,ail
12837,1357,cuillères à soupe,2.0,farine
12838,1357,branches,5.0,persil
12839,1357,,,thym
12840,1357,cl,25.0,cognac
12841,1357,g,900.0,sauté de veau
12842,1357,g,500.0,girolles
12843,1357,cuillères à soupe,2.0,échalote
12844,1357,blanc,1.0,lvin sec
12845,1357,,,laurier
12846,1357,,,poivre en grains
12847,1357,cuillères à soupe,2,concentré de tomates
12848,1357,cuillères à café,2.0,paprika
12849,1357,cl,20,crème
12850,1358,,,sel
12851,1358,,2.0,courgettes
12852,1358,,1.0,oignon
12853,1358,,,oeuf
12854,1359,"g, filet",600.0,mignon
12855,1359,"ml, blanc",100.0,vin
12856,1359,cuillères à soupe,2.0,fond de veau
12857,1359,g,200.0,champignon
12858,1359,ml,100.0,eau
12859,1359,g,120.0,oignon
12860,1359,cuillère à soupe,1.0,huile d'olive
12861,1359,g,300.0,pomme de terre
12862,1359,cuillère à soupe,1.0,moutarde
12863,1360,,,huile d'olive
12864,1360,,,sel
12865,1360,,,poivre
12866,1360,,1.0,oignon
12867,1360,,1.0,poivron jaune
12868,1360,,1.0,poivron vert
12869,1360,,1.0,poivron rouge
12870,1360,,10.0,chorizo
12871,1360,,4.0,oeufs
12872,1360,,,herbes de Provence
12873,1361,,,huile
12874,1361,,,sel
12875,1361,,,poivre
12876,1361,,4.0,tomates
12877,1361,,1.0,oignon
12878,1361,,1.0,poivron vert
12879,1361,,1.0,poivron rouge
12880,1361,,1.0,poulet
12881,1361,g,150.0,champignons de Paris
12882,1361,bouquets,2.0,garnis
12883,1361,gousses,5,ail
12884,1362,cuillères à café,3.0,vinaigre balsamique
12885,1362,cuillères à soupe,2.0,miel
12886,1362,,2.0,Magrets de Canard
12887,1362,,,sel et poivre
12888,1363,,,sel
12889,1363,,,poivre
12890,1363,cuillère à café,0.25,tabasco
12891,1363,cuillère à soupe,1.0,persil
12892,1363,g,250.0,beurre tendre
12893,1363,,20.0,queues
12894,1363,,2.0,échalotes
12895,1363,gousses,2.0,ail
12896,1363,cuillère à soupe,1.0,jus de citron
12897,1363,cuillères à soupe,2.0,chapelure
12898,1364,cl,5.0,whisky
12899,1364,cuillère à café,0.5,gingembre
12900,1364,cl,20.0,huile d'olive
12901,1364,,48.0,crevettes
12902,1364,,1.0,chorizo
12903,1364,petite boîte,1.0,ananas
12904,1364,,1.0,jus de citron
12905,1364,cuillère à café,1.0,paprika
12906,1365,,,sel
12907,1365,,,poivre
12908,1365,cuillères à soupe,2.0,crème fraîche
12909,1365,,1.0,cube de bouillon
12910,1365,cuillère à soupe,1.0,curry
12911,1365,cuillère à soupe,1.0,farine
12912,1365,g,30.0,beurre
12913,1365,"cl, blanc",33.0,vin
12914,1365,g,800.0,lieu noir
12915,1366,,4.0,pavés cabillaud
12916,1366,,3.0,carottes
12917,1366,g,200.0,haricots plats
12918,1366,,,gingembre
12919,1366,cuillère à soupe,1.0,pâte de curry
12920,1366,cuillère à café,1.0,huile de colza
12921,1366,,400.0,mllait de coco
12922,1366,,1.0,citron vert
12923,1366,,2.0,tiges coriandre
12924,1366,,,sel
12925,1367,,,sel
12926,1367,,,poivre
12927,1367,,,huile
12928,1367,,1.0,oignon
12929,1367,tranches,5.0,jambon
12930,1367,g,500.0,farfalle
12931,1367,g,200.0,petits pois
12932,1367,cl,10.0,crème fraîche liquide
12933,1367,g,50.0,Parmesan
12934,1368,,,muscade
12935,1368,,,sel
12936,1368,,,poivre
12937,1368,bouquet,1.0,persil
12938,1368,,2.0,aubergines
12939,1368,g,250.0,ricotta
12940,1368,,2.0,jaunes d'oeuf
12941,1368,cuillères à soupe,2.0,chapelure
12942,1368,g,50.0,parmesan râpé
12943,1369,,,huile
12944,1369,,4.0,escalopes de dinde
12945,1369,,1.0,jaune d'oeuf
12946,1369,,,chapelure
12947,1370,,,sel
12948,1370,,,poivre
12949,1370,cuillères à soupe,2.0,farine
12950,1370,,2.0,oignons
12951,1370,g,600.0,échine de porc
12952,1370,bouteille,1.0,cidre
12953,1370,,,fond de volaille
12954,1371,,,poivre
12955,1371,,,sel
12956,1371,g,120.0,lardons
12957,1371,,0.5,oignon
12958,1371,,2.0,courgettes
12959,1371,,1.0,jaune d'oeuf
12960,1371,g,40.0,Parmesan
12961,1372,,,persil
12962,1372,,,sel
12963,1372,,,poivre
12964,1372,,,beurre
12965,1372,cl,30.0,crème fraîche
12966,1372,,,noix de saint-jacques
12967,1372,,2.0,oeufs
12968,1372,boîte,1.0,champignons de Paris
12969,1372,"verre, blanc",0.5,vin
12970,1372,,,ail
12971,1372,,,chapelure
12972,1373,,,sel
12973,1373,,,poivre
12974,1373,,,huile d'olive
12975,1373,,,persil
12976,1373,g,800.0,seiche
12977,1373,,6.0,échalotes
12978,1373,gousses,2.0,ail
12979,1373,,,sauce soja
12980,1374,,,sel
12981,1374,,10.0,tomates cerise
12982,1374,cuillères à soupe,2.0,crème fraîche
12983,1374,,1.0,pâte brisée
12984,1374,,4.0,oeufs
12985,1374,,20.0,crevettes
12986,1374,boule,1.0,mozzarella
12987,1374,,,basilic
12988,1375,,,sel
12989,1375,,,poivre
12990,1375,morceau,1.0,sucre
12991,1375,cuillère à soupe,1.0,crème fraîche
12992,1375,pointe,1.0,purée de piment
12993,1375,,2.0,gingembre
12994,1375,,1.0,tomate
12995,1375,,0.5,poivron
12996,1375,g,300.0,crevettes
12997,1375,boîte,1.0,concentré de tomates
12998,1375,poignées,2,légumes
12999,1375,gousses,5.0,ail
13000,1375,feuilles,6,basilic
13001,1376,,,whisky
13002,1376,,,beurre
13003,1376,,,poivre
13004,1376,kg,1.0,crevette rose
13005,1377,"grosse, boîte",1.0,tomate
13006,1377,,1.0,oignon
13007,1377,,,huile d'olive
13008,1377,,,romarin
13009,1377,,,thym
13010,1377,,1.0,épaule d'agneau
13011,1377,,,ail
13012,1377,,,pomme de terre
13013,1378,cuillères à café,4.0,épices
13014,1378,cuillères à café,4.0,gingembre
13015,1378,cuillères à soupe,8.0,huile d'olive
13016,1378,"g, filet",450.0,de poulet
13017,1378,cuillères à soupe,4.0,sauce soja
13018,1378,cuillères à café,4.0,ail
13019,1378,cuillères à soupe,4.0,jus de citron
13020,1379,,,huile d'olive
13021,1379,,,sel
13022,1379,,,poivre
13023,1379,,,farine
13024,1379,g,100.0,emmental
13025,1379,,1.0,oignon
13026,1379,,0.5,poivron rouge
13027,1379,g,400.0,haricot
13028,1379,g,100.0,champignon
13029,1379,g,100.0,chapelure
13030,1379,cuillère à café,1,Fines herbes
13031,1379,,1.0,oeuf
13032,1380,,,sel
13033,1380,,,poivre
13034,1380,cl,20.0,crème fraîche
13035,1380,cuillères à soupe,4.0,vin
13036,1380,,4.0,escalopes de veau
13037,1380,g,150.0,champignon
13038,1381,,1.0,poivron jaune
13039,1381,,,huile
13040,1381,pincée,1.0,piment de Cayenne
13041,1381,cuillères à café,2.0,coriandre
13042,1381,,1.0,oignon
13043,1381,,1.0,poivron vert
13044,1381,,1.0,poivron rouge
13045,1381,noix,16.0,de saint-jacques
13046,1381,g,400.0,gambas
13047,1381,paquet,1.0,mâche
13048,1381,cuillères à café,4,mélange 4 épices
13049,1382,,,poivre
13050,1382,,,sel
13051,1382,filets,4.0,merlan
13052,1382,,1.0,jaune d'oeuf
13053,1382,g,50.0,chapelure
13054,1382,cuillères à soupe,3.0,lait
13055,1383,,,sel
13056,1383,,,poivre
13057,1383,,2.0,citrons confits
13058,1383,,1.0,oignon
13059,1383,cuillère à café,1.0,curcuma
13060,1383,cuillère à café,1.0,gingembre
13061,1383,,1.0,poulet
13062,1383,,12.0,olives
13063,1383,,1.0,citron
13064,1383,cuillère à café,1.0,cumin
13065,1383,cuillère à café,1,piment
13066,1383,,,coriandre
13067,1383,,,persil
13068,1383,cuillère à soupe,1,huile
13069,1384,cuillère,1.0,persil
13070,1384,g,40.0,beurre
13071,1384,g,350.0,riz
13072,1384,g,500.0,potiron
13073,1384,blanc,1.0,oignon
13074,1384,verre,1.0,lait
13075,1384,,,Parmesan
13076,1385,g,15.0,beurre
13077,1385,,1.0,lbouillon de légumes
13078,1385,,0.5,oignon
13079,1385,,250.0,épeautre
13080,1385,g,100.0,champignons de Paris
13081,1386,g,4.0,poivre
13082,1386,g,16.0,sel
13083,1387,cuillère à soupe,1.0,huile
13084,1387,g,25.0,beurre
13085,1387,,,poivre
13086,1387,,,sel
13087,1387,g,200.0,moutarde de Dijon
13088,1387,g,50.0,lard fumé
13089,1387,,4.0,oignons jaunes
13090,1387,"g, filet",800.0,mignon
13091,1387,g,200.0,champignons de Paris
13092,1387,,6.0,pommes
13093,1387,cl,20,crème
13094,1387,g,150.0,tomates confites à l’huile
13095,1387,cl,75,cidre
13096,1387,,5,baies
13097,1388,,,sel
13098,1388,,,poivre
13099,1388,cl,10.0,cognac
13100,1388,cuillère à soupe,1.0,rase persil
13101,1388,g,15.0,beurre
13102,1388,noix,15.0,de saint-jacques
13103,1388,cuillères à soupe,3.0,échalote
13104,1388,cuillère à soupe,0.5,ail
13105,1388,"cl, blanc",20.0,vin sec
13106,1388,cl,20.0,crème liquide
13107,1389,cuillères à soupe,4.0,crème fraîche
13108,1389,cuillères à soupe,2.0,farine
13109,1389,,,sel
13110,1389,,,poivre
13111,1389,cuillère à soupe,1.0,persil
13112,1389,cuillères à soupe,2.0,huile d'olive
13113,1389,,2.0,courgettes
13114,1389,gousse,1.0,ail
13115,1389,pincée,1.0,paprika
13116,1389,"cl, blanc",10.0,vin
13117,1389,filets,4,turbot
13118,1389,cuillère à soupe,1.0,jus de citron
13119,1390,cuillère à café,1.0,moutarde
13120,1390,cuillère à soupe,1.0,sucre
13121,1390,cuillère à soupe,1.0,vinaigre de framboise
13122,1390,cuillères à soupe,2.0,vin
13123,1390,cuillères à soupe,4.0,sésame
13124,1390,g,400.0,boeuf
13125,1390,g,250.0,chou chinois
13126,1390,g,200.0,épinards
13127,1390,g,200.0,champignons de Paris
13128,1390,g,200.0,nouilles chinoises
13129,1390,g,150,raifort
13130,1390,,1.5,lbouillon de poule
13131,1390,g,20,champignon
13132,1390,,1,dl jus de citron
13133,1390,,2.0,oignons nouveaux
13134,1390,cuillères à soupe,3.0,soja
13135,1390,cuillère à soupe,1.0,pâte
13136,1391,,,poivre
13137,1391,,,sel
13138,1391,,10.0,clous de girofle
13139,1391,,2.5,lbière
13140,1391,,3.0,saucisses de morteau
13141,1391,kg,4.5,choucroute
13142,1391,,22.0,saucisses
13143,1391,,2.0,saucissons à l'ail
13144,1391,tranches,8.0,ventrèche
13145,1391,morceaux,2.0,palette
