id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time
1804,Bonhommes en pain d'épices,https://www.marmiton.org/recettes/recette_bonhommes-en-pain-d-epices_20225.aspx,3.2,dessert,Pain d'épices,,,,moyenne,bon marché,4,20,10,30
1805,Pâté aux prunes,https://www.marmiton.org/recettes/recette_pate-aux-prunes_18521.aspx,4.3,,,,,,très facile,bon marché,4,30,30,60
1806,Bavarois aux framboises des bois,https://www.marmiton.org/recettes/recette_bavarois-aux-framboises-des-bois_331370.aspx,4.4,dessert,bavarois,,,,facile,bon marché,4,20,25,45
1807,Gâteau au chocolat sans cuisson,https://www.marmiton.org/recettes/recette_gateau-au-chocolat-sans-cuisson_13535.aspx,4.1,dessert,gâteau,gâteau au chocolat,,,très facile,bon marché,4,10,0,10
1808,Gaufres très croustillantes,https://www.marmiton.org/recettes/recette_gaufres-tres-croustillantes_57639.aspx,4.3,dessert,gaufre,,,,facile,bon marché,4,20,0,20
1809,Poires Belle Hélène,https://www.marmiton.org/recettes/recette_poires-belle-helene_19918.aspx,4.8,,,,,,facile,bon marché,4,15,20,35
1810,"Crumble aux pommes, aux poires",https://www.marmiton.org/recettes/recette_crumble-aux-pommes-aux-poires_24635.aspx,4.7,dessert,crumble,crumble aux pommes,,,très facile,bon marché,4,15,20,35
1811,SORBET A LA FRAISE,https://www.marmiton.org/recettes/recette_sorbet-a-la-fraise_22187.aspx,4.8,dessert,dessert glacé,sorbet,,,très facile,bon marché,4,15,2,17
1812,Tarte tatin facile et rapide,https://www.marmiton.org/recettes/recette_tarte-tatin-facile-et-rapide_37301.aspx,4.4,dessert,tarte,tarte Tatin,,,facile,bon marché,4,15,25,40
1813,Brioche aux pralines rouges,https://www.marmiton.org/recettes/recette_brioche-aux-pralines-rouges_26470.aspx,4.6,confiserie,pralines,,,,facile,bon marché,4,2,40,42
1814,Cake aux spéculoos,https://www.marmiton.org/recettes/recette_cake-aux-speculoos_47401.aspx,4.3,dessert,gâteau,petits gâteaux,,,très facile,bon marché,4,10,25,35
1815,Bananes flambées simples et très rapides,https://www.marmiton.org/recettes/recette_bananes-flambees-simples-et-tres-rapides_72081.aspx,4.8,,,,,,facile,bon marché,4,5,5,10
1816,Fougasse d'Aigues-Mortes,https://www.marmiton.org/recettes/recette_fougasse-d-aigues-mortes_335794.aspx,4.4,,,,,,moyenne,bon marché,4,5,20,25
1817,Pancakes protéinés,https://www.marmiton.org/recettes/recette_pancakes-proteines_344530.aspx,4.1,dessert,crêpe,pancake,,,très facile,moyen,4,10,20,30
1818,Gâteau moelleux aux carambars,https://www.marmiton.org/recettes/recette_gateau-moelleux-aux-carambars_88495.aspx,4.7,,,,,,très facile,bon marché,4,10,35,45
1819,Viennois au café,https://www.marmiton.org/recettes/recette_viennois-au-cafe_326354.aspx,4.5,,,,,,facile,bon marché,4,15,10,25
1820,Tarte aux cerises et amandes,https://www.marmiton.org/recettes/recette_tarte-aux-cerises-et-amandes_38740.aspx,4.6,,,,,,facile,moyen,4,30,45,75
1821,Moelleux au citron,https://www.marmiton.org/recettes/recette_moelleux-au-citron_344381.aspx,4.1,dessert,gâteau,gâteaux aux fruits,,,facile,bon marché,4,30,25,55
1822,Cookies aux pépites de chocolat,https://www.marmiton.org/recettes/recette_cookies-aux-pepites-de-chocolat_11010.aspx,4.3,dessert,gâteau,petits gâteaux,,,très facile,bon marché,4,15,15,30
1823,Tiramisu nutella spéculoos,https://www.marmiton.org/recettes/recette_tiramisu-nutella-speculoos_320360.aspx,4.7,dessert,gâteau,petits gâteaux,,,facile,moyen,4,25,0,25
2226,Financiers aux framboises,https://www.marmiton.org/recettes/recette_financiers-aux-framboises_229810.aspx,4.7,dessert,gâteau,petits gâteaux,,,facile,bon marché,4,15,20,35
1824,Brioches suisses aux pépites de chocolat,https://www.marmiton.org/recettes/recette_brioches-suisse-aux-pepites-de-chocolat_68475.aspx,2.5,dessert,brioche,brioche suisse,,,facile,bon marché,4,45,20,65
1825,Fondant au chocolat et aux noix,https://www.marmiton.org/recettes/recette_fondant-au-chocolat-et-aux-noix_52632.aspx,3.7,dessert,gâteau,gâteau au chocolat,,,très facile,bon marché,4,10,8,18
1826,"Gâteau léger, léger, léger!",https://www.marmiton.org/recettes/recette_gateau-leger-leger-leger_335986.aspx,4.5,,,,,,facile,bon marché,4,10,40,50
1827,Banana bread au chocolat et aux flocons d'avoine,https://www.marmiton.org/recettes/recette_banana-bread_392235.aspx,3.9,dessert,gâteau,cakes,,,très facile,bon marché,4,15,40,55
1828,Mousse au citron et au Mascarpone (très facile),https://www.marmiton.org/recettes/recette_mousse-au-citron-et-au-mascarpone-tres-facile_23974.aspx,4.8,dessert,mousse,mousse citron,,,très facile,bon marché,4,5,0,5
1829,Confiture de Myrtille à l'ancienne,https://www.marmiton.org/recettes/recette_confiture-de-myrtille-a-l-ancienne_324932.aspx,4.5,,,,,,moyenne,bon marché,4,5,130,135
1830,Gâteau moelleux chocolat et coco,https://www.marmiton.org/recettes/recette_gateau-moelleux-chocolat-et-coco_13446.aspx,4.3,dessert,gâteau,gâteau au chocolat,,,très facile,bon marché,4,10,45,55
1831,Pâte à crêpes légère,https://www.marmiton.org/recettes/recette_pate-a-crepes-legere_37131.aspx,4.5,dessert,crêpe,pâte à crêpes,,,très facile,bon marché,4,15,2,17
1832,Super petits sablés à la confiture,https://www.marmiton.org/recettes/recette_super-petits-sables-a-la-confiture_84542.aspx,4.7,dessert,gâteau,petits gâteaux,,,facile,bon marché,4,25,10,35
1833,Crêpes 100% Maïzena (sans gluten),https://www.marmiton.org/recettes/recette_crepes-100-maizena_312793.aspx,4.5,dessert,crêpe,crêpes sucrées,,,très facile,moyen,4,5,15,20
1834,Delicieux fondant au chocolat blanc super simple !,https://www.marmiton.org/recettes/recette_delicieux-fondant-au-chocolat-blanc-super-simple_82303.aspx,2.7,dessert,gâteau,gâteau au chocolat,,,très facile,bon marché,4,20,30,50
1835,Mousse mascarpone et chocolat,https://www.marmiton.org/recettes/recette_mousse-mascarpone-et-chocolat_36212.aspx,4.2,dessert,mousse,,,,très facile,bon marché,4,15,0,15
1836,Pâte à tarte minute,https://www.marmiton.org/recettes/recette_pate-a-tarte-minute_25147.aspx,4.6,,,,,,très facile,bon marché,4,5,15,20
1837,Mug cake au Nesquik (spécial enfants),https://www.marmiton.org/recettes/recette_mug-cake-au-nesquik-special-enfants_339468.aspx,4.1,dessert,gâteau,mugcake,,,facile,bon marché,4,5,1,6
1838,Brownies aux noix,https://www.marmiton.org/recettes/recette_brownies-aux-noix_11807.aspx,4.7,dessert,gâteau,gâteau au chocolat,,,facile,bon marché,4,20,20,40
1839,Gâteau à la compote,https://www.marmiton.org/recettes/recette_gateau-a-la-compote_311097.aspx,4.4,,,,,,facile,bon marché,4,10,40,50
1840,Cheese cake (sans cuisson),https://www.marmiton.org/recettes/recette_cheese-cake-sans-cuisson_43869.aspx,4.6,dessert,cheesecake,,,,facile,moyen,4,30,0,30
1841,Moelleux aux pommes caramélisées,https://www.marmiton.org/recettes/recette_moelleux-aux-pommes-caramelisees_57479.aspx,4.5,dessert,gâteau,gâteau aux pommes,,,facile,bon marché,4,15,30,45
1842,Petit framboisier,https://www.marmiton.org/recettes/recette_petit-framboisier_59414.aspx,4.8,dessert,gâteau,framboisier,,,facile,moyen,4,10,25,35
1843,Gâteau moelleux à la crème de marron,https://www.marmiton.org/recettes/recette_gateau-moelleux-a-la-creme-de-marron_41700.aspx,4.7,dessert,sauce sucrée,crème de marrons,,,très facile,moyen,4,20,30,50
1844,Meringue italienne : recette facile,https://www.marmiton.org/recettes/recette_meringue-a-l-italienne-et-usages_23584.aspx,4.9,dessert,gâteau,petits gâteaux,,,facile,moyen,4,30,10,40
