recette_id,unit,quantity,ingredient
2611,,100,sucre de canne
2611,,400,lait concentré sucré
2611,,500,rhum
2611,,800,lait de coco
2611,cuillère à café,1,cannelle
2612,morceaux,40,sucre
2612,,50,Alcool
2612,,50,eau
2612,feuilles,40,verveine
2613,,1,Expresso
2613,,3,vodka
2613,,1.5,"liqueur de café (kahlua, marie brizard)"
2613,,1,sirop de sucre de canne
2613,,,café
2614,cuillères à soupe,2,sucre
2614,,2,yaourts brassés
2614,verre,1,mangue
2614,verre,1,lait
2615,bouteille,1,crémant
2615,,1,citron
2615,,15,cointreau
2615,,12,sirop de sucre de canne
2616,gouttes,2,orange
2616,,3,gin
2616,,3,Campari
2616,,3,vermouth
2616,,4,glaçons
2617,,350,sucre
2617,,,écorce d'orange
2617,,1,Alcool
2617,,50,eau
2617,,3,orange amère
2618,pincée,1,poivre
2618,pincée,1,gingembre
2618,cuillère à café,1,curcuma
2618,pincée,1,cannelle
2618,cuillère à café,1,huile de coco
2618,tasse,1,lait de soja
2619,gouttes,2,tabasco
2619,,5,vodka
2619,,12,jus de tomates
2619,,0.5,jus de citron
2619,gouttes,2,sauce worcestershire
2619,,,sel de céleri
2619,,,glaçons
2620,,1,citron
2620,feuille,,menthe
2620,,,eau
2621,,2,liqueur d'armagnac à l'orange
2621,,12,vin mousseux
2622,cuillère à soupe,1,sucre en poudre
2622,,1,banane
2622,,1,kiwi
2622,,0.5,avocat
2622,,0.5,pomme
2622,,20,lait
2623,,30,cointreau
2623,,40,eau
2623,,20,citron
2623,,60,sirop de sucre de canne
2624,cuillère à soupe,1,sucre en poudre
2624,,200,crème dessert au chocolat
2624,,1,lait
2624,,10,crème liquide
2625,,,sel
2625,,,poivre
2625,brins,5,persil
2625,,2,tomates
2625,feuilles,4,basilic
2625,pincées,2,sel de céleri
2625,,10,eau
2625,,0.5,citron
2626,,1,orange
2626,,2,rhum
2626,,2,malibu
2626,,1,cointreau
2626,,1,framboises
2626,,1,sirop de grenadine
2626,,0.25,citron
2627,pincée,1,sucre
2627,,6,chocolat noir
2627,boule,1,glace au chocolat
2627,,250,lait
2627,,,crème chantilly
2628,,1,sucre
2628,,1,cassis
2629,cuillères à soupe,4,queue
2629,,50,eau
2630,,350,sucre en poudre
2630,,6,clous de girofle
2630,,175,gingembre
2630,,1.5,eau
2630,,,citron vert
2631,,6,vin rosé
2631,,2,"limonade (soda, sprite, 7up)"
2631,,1,sirop de grenadine
2632,bouteille,1,vin rosé
2632,,30,pamplemousse
2632,,5,grenadine
2633,bouteille,1,champagne
2633,,250,framboises
2633,,15,cointreau
2633,,15,sirop de sucre de canne
2634,,,sucre roux
2634,,10,gingembre
2634,,1,citron
2635,,2,liqueur
2635,,5,vodka
2635,,3,crème liquide
2636,,,sucre
2636,verre,1,Fleurs
2636,,1,eau
2637,,24,amaretto
2637,,8,jus de citron
2637,,4,sirop
2638,,380,sucre de canne
2638,,1,rhum vieux
2638,,150,café
2638,,0.25,eau
2639,morceaux,40,sucre
2639,brins,40,génépi
2639,,1,Alcool
2640,,6,clous de girofle
2640,cuillère à café,1,gingembre
2640,gousses,12,cardamome
2640,cuillères à soupe,7,sucre
2640,,1300,eau
2640,,650,lait
2640,cuillères à soupe,4,thé
2640,bâtons,2,cannelle
2640,,4,anis étoilé
2641,,8,rhum
2641,,4,jus de citron
2641,,2,sirop de sucre de canne
2641,,,glace pilée
2642,cuillères à soupe,2,vinaigre de cidre
2642,,100,sucre de canne
2642,morceau,1,gingembre
2642,sachets,3,thé
2642,,1,eau
2642,,0.5,citron
2642,,,kombucha
2643,,300,sucre
2643,,2,vin rosé
2643,,12,fleurs de sureau
2643,,40,Alcool
2644,,12,cognac
2644,,250,sucre
2644,,2,oranges
2644,,2,vin rouge
2644,,1,citron
2644,,1,pomme
2644,pincée,1,cannelle
2644,,50,limonade
2645,,30,vodka
2645,,20,crème
2645,,30,lait entier
2645,,,glaçons
2646,,,sucre
2646,,1,eau
2646,cuillère,1,café
